tag,real_tag,server,description,name,unit,measurement_type,process,area,sub_area,section,equipment,data_type,derived,quality_score,profit_type,tag_type,target,recommend,s0_feature,s1_feature,s2_feature,s3_feature,s4_feature,s5_feature,s6_feature,s7_feature,s8_feature,s9_feature,s10_feature,s11_feature,s12_feature,s13_feature,s14_feature,s15_feature,s16_feature,s17_feature,fa0l1_feature,fa0l2_feature,fa1l1_feature,fa1l2_feature,fa2l1_feature,fa2l2_feature,fa2l3_feature,fa2lg_feature,range_min,range_max,op_min,op_max,min_delta,max_delta_down,max_delta,on_off_dependencies,constraint_set,round_val,comentarios,dist_count,dist_mean,dist_std,dist_min,dist_2%,dist_10%,dist_20%,dist_50%,dist_80%,dist_90%,dist_98%,dist_max,dif_count,dif_mean,dif_std,dif_min,dif_2%,dif_10%,dif_20%,dif_50%,dif_70%,dif_80%,dif_90%,dif_98%,dif_max
ma2_3hic760_op,MA2:3HIC760.OP,CNCHPI02,limite bajo velocidad bba bhc 17-a,velocidad bomba bhc 17a,%,velocidad bomba,molienda,MA2,BM 17A,S17,BHC 17A,numeric,0.0,,MV,reaction,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0,1.0,1.0,1.0,70.0,95.0,73.1000061,81.77505473,,,,"on_off_bm_17a, on_off_linea_17, on_off_m_A2",,,representa el valor de la velocidad de bomba que opera 1 por bhc de 2 posible,16250.0,77.65812043703566,3.753197929705075,70.0,70.29857170999999,72.20669193527776,74.36073022277778,77.81821856111115,80.54345639934448,82.04717611569419,86.0,95.0,4070.0,1.3594120535735437,1.5018284571983724,0.0,0.0,0.06545394493054317,0.22412688752115173,0.8947232312115148,1.6390233172840607,2.189433902500002,3.175076273819444,5.7623938402083255,15.024056304166665
ma2_3hic770_op,MA2:3HIC770.OP,CNCHPI02,limite bajo velocidad bba bhc 17-a,velocidad bomba bhc 17b,%,velocidad bomba,molienda,MA2,BM 17B,S17,BHC 17B,numeric,0.0,,MV,reaction,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,1.0,70.0,90.0,73.73620290000002,81.90001678,,,,"on_off_bm_17b, on_off_linea_17, on_off_m_A2",,,representa el valor de la velocidad de bomba que opera 1 por bhc de 2 posible,16546.0,78.15508937942337,3.6491143526753818,70.0,71.04153790333334,72.04681189444446,74.90036263333332,78.53790223055556,81.16454741160075,82.68848571067268,84.99996,90.0,4145.0,1.3184496900878668,1.409034368788144,0.0,0.0,0.06925299333332191,0.23515595333333306,0.8973462923611208,1.588091568432463,2.140788141250002,3.038885130555542,5.704963933999996,12.060648148148134
ma2_3pic0302_move,MA2:3PIC0302.MOVE,CNCHPI02,movimiento actual velocidad bomba bhc bm-19,,%,velocidad bomba,molienda,MA2,BM 19,BM 19,BHC 19,numeric,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,"on_off_bm_19, on_off_m_A2",,,sacar no se tiene velocidad bomba en pi,,,,,,,,,,,,,,,,,,,,,,,,,
ma2_3si154,MA2:3SI154,CNCHPI02,veloc molino sag16,veloc molino sag16,rpm,velocidad molino,molienda,MA2,SAG 16,S16,SAG 16,numeric,0.0,,MV,control,,ma2,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,0.0,0.0,0.0,,,6.0,10.8,0.1,1.0,1.0,"on_off_linea_16, on_off_m_A2",,,"medida, implementacion gradual",19763.0,8.371983190886597,3.1670510984815263,0.0,1.677967783740033e-07,0.021811442659712348,8.010728184569992,9.551953484076073,10.304096264334401,10.549564130723764,10.800094120246253,10.899144522611287,4940.0,0.8366492384707814,1.4759537467874142,0.0,1.1822313615394806e-06,0.010187008383258693,0.05671557771574527,0.3057254614656548,0.6571697017070499,1.042552324672323,2.192397312490184,6.475859642395396,10.395562531897694
ma2_3si19,MA2:3SI19,CNCHPI02,velocidad 5to molino,,rpm,velocidad molino,molienda,MA2,BM 19,BM 19,BM 19,numeric,0.0,,,control,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,"on_off_bm_19, on_off_m_A2",,,medida,19675.0,8.971334741735864,3.631944081957248,0.0,0.0,0.0,8.811762777777762,10.594377777777764,10.756436666666662,11.394493340441375,11.395202777777758,11.694549684524537,4918.0,1.0737891516816864,2.0291750420309675,0.0,0.0,9.721517562990555e-05,0.00035375000000037465,0.17685657488803308,0.6786779861111151,1.4170690277777744,3.736902638888884,8.165342805555545,11.014522222222205
ma2_3si254,MA2:3SI254,CNCHPI02,veloc. molino sag17,veloc molino sag17,rpm,velocidad molino,molienda,MA2,SAG 17,S17,SAG 17,numeric,0.0,,MV,control,,ma2,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,0.0,0.0,0.0,,,6.0,10.4,0.1,1.0,1.0,"on_off_linea_17, on_off_m_A2",,,"medida, implementacion gradual",19748.0,8.852086445398811,3.1584769103116552,0.0010540533852352037,0.0020474703233179714,1.70076429118294,8.910589588782598,10.039071883478687,10.600620307876573,10.725634082869961,10.839021423930292,10.930180909804356,4936.0,0.8934734758188189,1.6051007489778344,0.0,3.272413193118785e-05,0.00709540656916996,0.04256694313912135,0.2546657935505747,0.6427695225183214,1.117764690421426,2.6664706710744013,6.792954019665843,10.323456982545821
ma2_3si591,MA2:3SI591,CNCHPI02,velocidad feeder 103,,%,velocidad feeder,molienda,MA2,SAG 17,S17,SAG 17,numeric,0.0,,,input,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,65.0,0.0,22.62696824,,,,"on_off_linea_17, on_off_m_A2",,,medida solo cuando se realimentan pebbles chancados,18856.0,4.566331035376307,11.66680088726333,0.0,0.0,0.0,0.0,0.0,1.271793,20.079297926388886,49.930387973333346,64.84586581111111,4736.0,4.3230713738198965,8.08943811942787,0.0,0.0,0.0,0.0,0.0,3.633543232638889,7.405277813888887,14.732741802190974,31.16789534347223,60.748811025694465
ma2_3si596,MA2:3SI596,CNCHPI02,velocidad feeder 104,,%,velocidad feeder,molienda,MA2,SAG 16,S16,SAG 16,numeric,0.0,,,input,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,59.95065902,0.0,23.68503476,,,,"on_off_linea_16, on_off_m_A2",,,medida solo cuando se realimentan pebbles chancados,18134.0,4.51665598822347,11.21467976223558,0.0,0.0,0.0,0.0,0.0,0.6899925100085796,20.1164,45.62529312127778,59.903821911111116,4558.0,4.170233542223712,7.6114651117184335,0.0,0.0,0.0,0.0,0.0,3.677667025,7.399786600000005,14.876192589444445,28.311790033513827,54.06329249548611
ma2_3si721a,MA2:3SI721A,CNCHPI02,velocidad bomba 36,,%,velocidad bomba,molienda,MA2,BHC 16A,S16,BHC 16A,numeric,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,medida,,,,,,,,,,,,,,,,,,,,,,,,,
ma2_3si726a,MA2:3SI726A,CNCHPI02,velocidad bomba 37,,%,velocidad bomba,molienda,MA2,BHC 16A,S16,BHC 16A,numeric,0.0,,,control,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,medida,8005.0,33.99259854951766,40.05747531781166,0.0,0.0,0.0,0.0,0.0,81.80027777777778,83.85422222222223,87.02588888888889,97.045,2000.0,3.607272083333333,11.738614068358377,0.0,0.0,0.0,0.0,0.0,0.8233125000000058,1.6438333333333364,4.911048611111099,54.57480972222218,86.7325
